Index,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted
2002-02-01,0.434643,0.445714,0.434643,0.435893,398305600,0.373244
2002-02-04,0.434286,0.455714,0.432143,0.452679,522373600,0.387617
2002-02-05,0.448036,0.463929,0.447857,0.454464,456887200,0.389146
2002-02-06,0.457143,0.463929,0.43125,0.440536,597576000,0.37722
2002-02-07,0.440179,0.451607,0.43,0.433929,347832800,0.371562
2002-02-08,0.435714,0.44,0.417321,0.429107,355331200,0.367433
2002-02-11,0.427321,0.446429,0.423929,0.446071,398602400,0.381959
2002-02-12,0.440357,0.447143,0.436607,0.44125,224280000,0.377831
2002-02-13,0.441607,0.450714,0.440179,0.446607,312872000,0.382418
2002-02-14,0.447321,0.450536,0.435357,0.439286,260170400,0.376149
2002-02-15,0.438036,0.446071,0.425893,0.426786,260187200,0.365446
2002-02-19,0.424286,0.42625,0.401429,0.403929,390258400,0.345874
2002-02-20,0.406607,0.414286,0.399107,0.413036,285443200,0.353672
2002-02-21,0.409286,0.410714,0.383036,0.383929,446751200,0.328748
2002-02-22,0.386786,0.409821,0.383929,0.406071,406476000,0.347708
2002-02-25,0.408036,0.441429,0.399286,0.425179,426848800,0.36407
2002-02-26,0.426964,0.435179,0.415179,0.422679,260131200,0.361929
2002-02-27,0.4275,0.433036,0.373929,0.392143,1030159200,0.335782
2002-02-28,0.395536,0.403393,0.38125,0.3875,456937600,0.331806
2002-03-01,0.391607,0.419643,0.389643,0.41875,348992000,0.358565
2002-03-04,0.415357,0.438929,0.406429,0.43375,348258400,0.371409
2002-03-05,0.43125,0.43625,0.417857,0.420179,274702400,0.359788
2002-03-06,0.419286,0.434643,0.409464,0.429821,226206400,0.368045
2002-03-07,0.429643,0.438036,0.421607,0.435357,258249600,0.372785
2002-03-08,0.441786,0.448036,0.433929,0.440357,269774400,0.377066
2002-03-11,0.439286,0.448929,0.430357,0.4475,262785600,0.383183
2002-03-12,0.437679,0.441786,0.430357,0.441429,254055200,0.377984
2002-03-13,0.435179,0.44375,0.43125,0.437321,200765600,0.374467
2002-03-14,0.433929,0.439286,0.42625,0.43625,217296800,0.37355
2002-03-15,0.436786,0.445714,0.433036,0.445536,240900800,0.381501
2002-03-18,0.445536,0.447321,0.434286,0.441786,304556000,0.37829
2002-03-19,0.440893,0.451786,0.433929,0.44375,242345600,0.379972
2002-03-20,0.440357,0.448929,0.4375,0.445,294319200,0.381042
2002-03-21,0.426071,0.433929,0.415357,0.433393,616352800,0.371103
2002-03-22,0.4325,0.438571,0.42625,0.430179,202193600,0.368351
2002-03-25,0.429821,0.430179,0.415,0.416964,262830400,0.357036
2002-03-26,0.414286,0.422143,0.410714,0.418929,257840800,0.358718
2002-03-27,0.416964,0.423571,0.415357,0.419107,127702400,0.35887
2002-03-28,0.423214,0.426429,0.418929,0.422679,108455200,0.361929
2002-04-01,0.4175,0.441071,0.415714,0.436786,199046400,0.374009
2002-04-02,0.428571,0.433929,0.42625,0.429821,203795200,0.368045
2002-04-03,0.429464,0.437321,0.421429,0.424107,214530400,0.363152
2002-04-04,0.422679,0.447321,0.422679,0.444643,338497600,0.380736
